"","id","ar_typ_","county_1","region","ALAND","AWATER"
"66","Hood River-Fringe","Fringe","Hood River","Northeast",76231954730,338603126
"67","Hood River-Inner","Inner","Hood River","Northeast",76231954730,338603126
"68","Hood River-Outer","Outer","Hood River","Northeast",76231954730,338603126
"69","Polk-Inner","Inner","Polk","Willamette Valley",26303551596,535237434
"70","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"71","Hood River-Center","Center","Hood River","Northeast",76231954730,338603126
"72","Hood River-Outer","Outer","Hood River","Northeast",76231954730,338603126
"73","Hood River-Inner","Inner","Hood River","Northeast",76231954730,338603126
"74","Umatilla-Inner","Inner","Umatilla","Northeast",76231954730,338603126
"75","Jackson-Center","Center","Jackson","Southwest",32846296458,1783626345
"76","Washington-Center","Center","Washington","Portland Metro",7837455373,126207074
"77","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"78","Yamhill-Center","Center","Yamhill","Willamette Valley",26303551596,535237434
"79","Yamhill-Center","Center","Yamhill","Willamette Valley",26303551596,535237434
"80","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"81","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"82","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"83","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"84","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"85","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"86","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"87","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"88","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"89","Coos-Fringe","Fringe","Coos","Southwest",32846296458,1783626345
"90","Coos-Fringe","Fringe","Coos","Southwest",32846296458,1783626345
"91","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"92","Coos-Center","Center","Coos","Southwest",32846296458,1783626345
"93","Coos-Center","Center","Coos","Southwest",32846296458,1783626345
"94","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"95","Benton-Center","Center","Benton","Willamette Valley",26303551596,535237434
"96","Lane-Center","Center","Lane","Willamette Valley",26303551596,535237434
"97","Lane-Center","Center","Lane","Willamette Valley",26303551596,535237434
"98","Lane-Inner","Inner","Lane","Willamette Valley",26303551596,535237434
"99","Lane-Center","Center","Lane","Willamette Valley",26303551596,535237434
"100","Lane-Center","Center","Lane","Willamette Valley",26303551596,535237434
"101","Lane-Inner","Inner","Lane","Willamette Valley",26303551596,535237434
"102","Jackson-Inner","Inner","Jackson","Southwest",32846296458,1783626345
"103","Lincoln-Inner","Inner","Lincoln","North Coast",9245287925,1890452492
"104","Lincoln-Fringe","Fringe","Lincoln","North Coast",9245287925,1890452492
"105","Coos-Center","Center","Coos","Southwest",32846296458,1783626345
"106","Coos-Center","Center","Coos","Southwest",32846296458,1783626345
"107","Marion-Center","Center","Marion","Willamette Valley",26303551596,535237434
"108","Marion-Center","Center","Marion","Willamette Valley",26303551596,535237434
"109","Washington-Center","Center","Washington","Portland Metro",7837455373,126207074
"110","Wasco-Fringe","Fringe","Wasco","Northeast",76231954730,338603126
"111","Wasco-Fringe","Fringe","Wasco","Northeast",76231954730,338603126
"112","Benton-Center","Center","Benton","Willamette Valley",26303551596,535237434
"113","Washington-Center","Center","Washington","Portland Metro",7837455373,126207074
"114","Benton-Center","Center","Benton","Willamette Valley",26303551596,535237434
"115","Marion-Center","Center","Marion","Willamette Valley",26303551596,535237434
"116","Marion-Center","Center","Marion","Willamette Valley",26303551596,535237434
"117","Marion-Center","Center","Marion","Willamette Valley",26303551596,535237434
"118","Marion-Outer","Outer","Marion","Willamette Valley",26303551596,535237434
"119","Marion-Inner","Inner","Marion","Willamette Valley",26303551596,535237434
"120","Marion-Center","Center","Marion","Willamette Valley",26303551596,535237434
"121","Marion-Center","Center","Marion","Willamette Valley",26303551596,535237434
"122","Marion-Center","Center","Marion","Willamette Valley",26303551596,535237434
"123","Umatilla-Fringe","Fringe","Umatilla","Northeast",76231954730,338603126
"124","Umatilla-Inner","Inner","Umatilla","Northeast",76231954730,338603126
"125","Marion-Center","Center","Marion","Willamette Valley",26303551596,535237434
"126","Marion-Center","Center","Marion","Willamette Valley",26303551596,535237434
"127","Marion-Center","Center","Marion","Willamette Valley",26303551596,535237434
"128","Marion-Center","Center","Marion","Willamette Valley",26303551596,535237434
"129","Marion-Center","Center","Marion","Willamette Valley",26303551596,535237434
"130","Marion-Center","Center","Marion","Willamette Valley",26303551596,535237434
"131","Marion-Center","Center","Marion","Willamette Valley",26303551596,535237434
"132","Yamhill-Inner","Inner","Yamhill","Willamette Valley",26303551596,535237434
"133","Yamhill-Inner","Inner","Yamhill","Willamette Valley",26303551596,535237434
"134","Marion-Center","Center","Marion","Willamette Valley",26303551596,535237434
"135","Marion-Center","Center","Marion","Willamette Valley",26303551596,535237434
"136","Marion-Center","Center","Marion","Willamette Valley",26303551596,535237434
"137","Marion-Center","Center","Marion","Willamette Valley",26303551596,535237434
"138","Marion-Center","Center","Marion","Willamette Valley",26303551596,535237434
"139","Marion-Center","Center","Marion","Willamette Valley",26303551596,535237434
"140","Marion-Center","Center","Marion","Willamette Valley",26303551596,535237434
"141","Marion-Center","Center","Marion","Willamette Valley",26303551596,535237434
"142","Marion-Center","Center","Marion","Willamette Valley",26303551596,535237434
"143","Marion-Center","Center","Marion","Willamette Valley",26303551596,535237434
"144","Marion-Center","Center","Marion","Willamette Valley",26303551596,535237434
"145","Marion-Center","Center","Marion","Willamette Valley",26303551596,535237434
"146","Marion-Center","Center","Marion","Willamette Valley",26303551596,535237434
"147","Marion-Inner","Inner","Marion","Willamette Valley",26303551596,535237434
"148","Marion-Center","Center","Marion","Willamette Valley",26303551596,535237434
"149","Marion-Center","Center","Marion","Willamette Valley",26303551596,535237434
"150","Umatilla-Center","Center","Umatilla","Northeast",76231954730,338603126
"151","Umatilla-Inner","Inner","Umatilla","Northeast",76231954730,338603126
"152","Umatilla-Center","Center","Umatilla","Northeast",76231954730,338603126
"153","Marion-Center","Center","Marion","Willamette Valley",26303551596,535237434
"154","Marion-Center","Center","Marion","Willamette Valley",26303551596,535237434
"155","Marion-Center","Center","Marion","Willamette Valley",26303551596,535237434
"156","Marion-Center","Center","Marion","Willamette Valley",26303551596,535237434
"157","Marion-Center","Center","Marion","Willamette Valley",26303551596,535237434
"158","Marion-Center","Center","Marion","Willamette Valley",26303551596,535237434
"159","Marion-Outer","Outer","Marion","Willamette Valley",26303551596,535237434
"160","Marion-Center","Center","Marion","Willamette Valley",26303551596,535237434
"161","Marion-Inner","Inner","Marion","Willamette Valley",26303551596,535237434
"162","Umatilla-Fringe","Fringe","Umatilla","Northeast",76231954730,338603126
"163","Marion-Inner","Inner","Marion","Willamette Valley",26303551596,535237434
"164","Marion-Center","Center","Marion","Willamette Valley",26303551596,535237434
"165","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"166","Umatilla-Center","Center","Umatilla","Northeast",76231954730,338603126
"167","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"168","Coos-Fringe","Fringe","Coos","Southwest",32846296458,1783626345
"169","Lincoln-Outer","Outer","Lincoln","North Coast",9245287925,1890452492
"170","Morrow-Outer","Outer","Morrow","Northeast",76231954730,338603126
"171","Morrow-Outer","Outer","Morrow","Northeast",76231954730,338603126
"172","Morrow-Inner","Inner","Morrow","Northeast",76231954730,338603126
"173","Lane-Inner","Inner","Lane","Willamette Valley",26303551596,535237434
"174","Lane-Fringe","Fringe","Lane","Willamette Valley",26303551596,535237434
"175","Douglas-Outer","Outer","Douglas","Southwest",32846296458,1783626345
"176","Douglas-Inner","Inner","Douglas","Southwest",32846296458,1783626345
"177","Douglas-Outer","Outer","Douglas","Southwest",32846296458,1783626345
"178","Jefferson-Inner","Inner","Jefferson","Northeast",76231954730,338603126
"179","Jefferson-Inner","Inner","Jefferson","Northeast",76231954730,338603126
"180","Jefferson-Inner","Inner","Jefferson","Northeast",76231954730,338603126
"181","Douglas-Center","Center","Douglas","Southwest",32846296458,1783626345
"182","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"183","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"184","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"185","Klamath-Center","Center","Klamath","Southeast",88327640728,1422765901
"186","Klamath-Center","Center","Klamath","Southeast",88327640728,1422765901
"187","Klamath-Center","Center","Klamath","Southeast",88327640728,1422765901
"188","Klamath-Center","Center","Klamath","Southeast",88327640728,1422765901
"189","Clatsop-Center","Center","Clatsop","North Coast",9245287925,1890452492
"190","Jackson-Inner","Inner","Jackson","Southwest",32846296458,1783626345
"191","Jackson-Center","Center","Jackson","Southwest",32846296458,1783626345
"192","Jackson-Center","Center","Jackson","Southwest",32846296458,1783626345
"193","Lane-Center","Center","Lane","Willamette Valley",26303551596,535237434
"194","Lane-Center","Center","Lane","Willamette Valley",26303551596,535237434
"195","Lane-Center","Center","Lane","Willamette Valley",26303551596,535237434
"196","Lane-Center","Center","Lane","Willamette Valley",26303551596,535237434
"197","Lane-Center","Center","Lane","Willamette Valley",26303551596,535237434
"198","Lane-Center","Center","Lane","Willamette Valley",26303551596,535237434
"199","Lane-Center","Center","Lane","Willamette Valley",26303551596,535237434
"200","Lane-Center","Center","Lane","Willamette Valley",26303551596,535237434
"201","Lane-Center","Center","Lane","Willamette Valley",26303551596,535237434
"202","Lane-Center","Center","Lane","Willamette Valley",26303551596,535237434
"203","Lane-Center","Center","Lane","Willamette Valley",26303551596,535237434
"204","Lane-Center","Center","Lane","Willamette Valley",26303551596,535237434
"205","Lane-Center","Center","Lane","Willamette Valley",26303551596,535237434
"206","Lane-Center","Center","Lane","Willamette Valley",26303551596,535237434
"207","Lane-Center","Center","Lane","Willamette Valley",26303551596,535237434
"208","Morrow-Inner","Inner","Morrow","Northeast",76231954730,338603126
"209","Washington-Center","Center","Washington","Portland Metro",7837455373,126207074
"210","Washington-Center","Center","Washington","Portland Metro",7837455373,126207074
"211","Umatilla-Outer","Outer","Umatilla","Northeast",76231954730,338603126
"212","Umatilla-Center","Center","Umatilla","Northeast",76231954730,338603126
"213","Umatilla-Outer","Outer","Umatilla","Northeast",76231954730,338603126
"214","Umatilla-Fringe","Fringe","Umatilla","Northeast",76231954730,338603126
"215","Umatilla-Inner","Inner","Umatilla","Northeast",76231954730,338603126
"216","Umatilla-Fringe","Fringe","Umatilla","Northeast",76231954730,338603126
"217","Umatilla-Outer","Outer","Umatilla","Northeast",76231954730,338603126
"218","Lincoln-Fringe","Fringe","Lincoln","North Coast",9245287925,1890452492
"219","Lincoln-Inner","Inner","Lincoln","North Coast",9245287925,1890452492
"220","Washington-Inner","Inner","Washington","Portland Metro",7837455373,126207074
"221","Washington-Center","Center","Washington","Portland Metro",7837455373,126207074
"222","Lane-Center","Center","Lane","Willamette Valley",26303551596,535237434
"223","Washington-Center","Center","Washington","Portland Metro",7837455373,126207074
"224","Washington-Center","Center","Washington","Portland Metro",7837455373,126207074
"225","Washington-Center","Center","Washington","Portland Metro",7837455373,126207074
"226","Washington-Center","Center","Washington","Portland Metro",7837455373,126207074
"227","Washington-Center","Center","Washington","Portland Metro",7837455373,126207074
"228","Washington-Center","Center","Washington","Portland Metro",7837455373,126207074
"229","Washington-Center","Center","Washington","Portland Metro",7837455373,126207074
"230","Washington-Center","Center","Washington","Portland Metro",7837455373,126207074
"231","Washington-Center","Center","Washington","Portland Metro",7837455373,126207074
"232","Washington-Center","Center","Washington","Portland Metro",7837455373,126207074
"233","Washington-Center","Center","Washington","Portland Metro",7837455373,126207074
"234","Washington-Center","Center","Washington","Portland Metro",7837455373,126207074
"235","Washington-Center","Center","Washington","Portland Metro",7837455373,126207074
"236","Tillamook-Fringe","Fringe","Tillamook","North Coast",9245287925,1890452492
"237","Tillamook-Fringe","Fringe","Tillamook","North Coast",9245287925,1890452492
"238","Marion-Inner","Inner","Marion","Willamette Valley",26303551596,535237434
"239","Marion-Center","Center","Marion","Willamette Valley",26303551596,535237434
"240","Marion-Center","Center","Marion","Willamette Valley",26303551596,535237434
"241","Marion-Center","Center","Marion","Willamette Valley",26303551596,535237434
"242","Umatilla-Inner","Inner","Umatilla","Northeast",76231954730,338603126
"243","Marion-Center","Center","Marion","Willamette Valley",26303551596,535237434
"244","Malheur-Center","Center","Malheur","Southeast",88327640728,1422765901
"245","Malheur-Center","Center","Malheur","Southeast",88327640728,1422765901
"246","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"247","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"248","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"249","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"250","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"251","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"252","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"253","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"254","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"255","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"256","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"257","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"258","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"259","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"260","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"261","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"262","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"263","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"264","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"265","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"266","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"267","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"268","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"269","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"270","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"271","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"272","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"273","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"274","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"275","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"276","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"277","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"278","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"279","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"280","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"281","Malheur-Inner","Inner","Malheur","Southeast",88327640728,1422765901
"282","Malheur-Inner","Inner","Malheur","Southeast",88327640728,1422765901
"283","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"284","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"285","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"286","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"287","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"288","Malheur-Center","Center","Malheur","Southeast",88327640728,1422765901
"289","Malheur-Fringe","Fringe","Malheur","Southeast",88327640728,1422765901
"290","Malheur-Outer","Outer","Malheur","Southeast",88327640728,1422765901
"291","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"292","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"293","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"294","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"295","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"296","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"297","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"298","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"299","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"300","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"301","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"302","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"303","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"304","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"305","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"306","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"307","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"308","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"309","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"310","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"311","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"312","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"313","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"314","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"315","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"316","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"317","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"318","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"319","Malheur-Outer","Outer","Malheur","Southeast",88327640728,1422765901
"320","Jackson-Fringe","Fringe","Jackson","Southwest",32846296458,1783626345
"321","Malheur-Inner","Inner","Malheur","Southeast",88327640728,1422765901
"322","Malheur-Outer","Outer","Malheur","Southeast",88327640728,1422765901
"323","Jackson-Inner","Inner","Jackson","Southwest",32846296458,1783626345
"324","Jackson-Inner","Inner","Jackson","Southwest",32846296458,1783626345
"325","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"326","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"327","Douglas-Fringe","Fringe","Douglas","Southwest",32846296458,1783626345
"328","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"329","Yamhill-Inner","Inner","Yamhill","Willamette Valley",26303551596,535237434
"330","Washington-Center","Center","Washington","Portland Metro",7837455373,126207074
"331","Lane-Fringe","Fringe","Lane","Willamette Valley",26303551596,535237434
"332","Lane-Fringe","Fringe","Lane","Willamette Valley",26303551596,535237434
"333","Marion-Center","Center","Marion","Willamette Valley",26303551596,535237434
"334","Yamhill-Fringe","Fringe","Yamhill","Willamette Valley",26303551596,535237434
"335","Yamhill-Outer","Outer","Yamhill","Willamette Valley",26303551596,535237434
"336","Yamhill-Outer","Outer","Yamhill","Willamette Valley",26303551596,535237434
"337","Yamhill-Outer","Outer","Yamhill","Willamette Valley",26303551596,535237434
"338","Yamhill-Fringe","Fringe","Yamhill","Willamette Valley",26303551596,535237434
"339","Yamhill-Outer","Outer","Yamhill","Willamette Valley",26303551596,535237434
"340","Yamhill-Outer","Outer","Yamhill","Willamette Valley",26303551596,535237434
"341","Yamhill-Fringe","Fringe","Yamhill","Willamette Valley",26303551596,535237434
"342","Klamath-Fringe","Fringe","Klamath","Southeast",88327640728,1422765901
"343","Klamath-Fringe","Fringe","Klamath","Southeast",88327640728,1422765901
"344","Washington-Center","Center","Washington","Portland Metro",7837455373,126207074
"345","Washington-Center","Center","Washington","Portland Metro",7837455373,126207074
"346","Washington-Outer","Outer","Washington","Portland Metro",7837455373,126207074
"347","Washington-Center","Center","Washington","Portland Metro",7837455373,126207074
"348","Washington-Center","Center","Washington","Portland Metro",7837455373,126207074
"349","Washington-Center","Center","Washington","Portland Metro",7837455373,126207074
"350","Klamath-Outer","Outer","Klamath","Southeast",88327640728,1422765901
"351","Union-Center","Center","Union","Northeast",76231954730,338603126
"352","Union-Center","Center","Union","Northeast",76231954730,338603126
"353","Union-Center","Center","Union","Northeast",76231954730,338603126
"354","Yamhill-Outer","Outer","Yamhill","Willamette Valley",26303551596,535237434
"355","Yamhill-Fringe","Fringe","Yamhill","Willamette Valley",26303551596,535237434
"356","Klamath-Inner","Inner","Klamath","Southeast",88327640728,1422765901
"357","Yamhill-Fringe","Fringe","Yamhill","Willamette Valley",26303551596,535237434
"358","Umatilla-Outer","Outer","Umatilla","Northeast",76231954730,338603126
"359","Columbia-Outer","Outer","Columbia","North Coast",9245287925,1890452492
"360","Columbia-Inner","Inner","Columbia","North Coast",9245287925,1890452492
"361","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"362","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"363","Multnomah-Outer","Outer","Multnomah","Portland Metro",7837455373,126207074
"364","Multnomah-Center","Center","Multnomah","Portland Metro",7837455373,126207074
"365","Polk-Center","Center","Polk","Willamette Valley",26303551596,535237434
"366","Union-Fringe","Fringe","Union","Northeast",76231954730,338603126
"367","Clackamas-Inner","Inner","Clackamas","Portland Metro",7837455373,126207074
"368","Jackson-Inner","Inner","Jackson","Southwest",32846296458,1783626345
"369","Linn-Center","Center","Linn","Willamette Valley",26303551596,535237434
"370","Jackson-Center","Center","Jackson","Southwest",32846296458,1783626345
"371","Marion-Inner","Inner","Marion","Willamette Valley",26303551596,535237434
"372","Marion-Center","Center","Marion","Willamette Valley",26303551596,535237434
"373","Washington-Inner","Inner","Washington","Portland Metro",7837455373,126207074
"374","Clackamas-Center","Center","Clackamas","Portland Metro",7837455373,126207074
"375","Clackamas-Fringe","Fringe","Clackamas","Portland Metro",7837455373,126207074
"376","Clackamas-Center","Center","Clackamas","Portland Metro",7837455373,126207074
"377","Clackamas-Fringe","Fringe","Clackamas","Portland Metro",7837455373,126207074
"378","Clackamas-Inner","Inner","Clackamas","Portland Metro",7837455373,126207074
"379","Clackamas-Outer","Outer","Clackamas","Portland Metro",7837455373,126207074
"380","Clackamas-Center","Center","Clackamas","Portland Metro",7837455373,126207074
"381","Clackamas-Fringe","Fringe","Clackamas","Portland Metro",7837455373,126207074
"382","Clackamas-Center","Center","Clackamas","Portland Metro",7837455373,126207074
"383","Clackamas-Center","Center","Clackamas","Portland Metro",7837455373,126207074
"384","Clackamas-Outer","Outer","Clackamas","Portland Metro",7837455373,126207074
"385","Clackamas-Fringe","Fringe","Clackamas","Portland Metro",7837455373,126207074
"386","Washington-Center","Center","Washington","Portland Metro",7837455373,126207074
"387","Washington-Center","Center","Washington","Portland Metro",7837455373,126207074
"388","Washington-Inner","Inner","Washington","Portland Metro",7837455373,126207074
"389","Washington-Center","Center","Washington","Portland Metro",7837455373,126207074
"390","Clackamas-Outer","Outer","Clackamas","Portland Metro",7837455373,126207074
